,ticks
0,DDD
1,MMM
2,WBAI
3,WUBA
4,EGHT
5,AHC
6,AOS
7,ATEN
8,AIR
9,AAN
10,ABB
11,ABT
12,ABBV
13,ANF
14,AGD
15,AWP
16,ACP
17,JEQ
18,ASGI
19,AOD
20,ABM
21,AKR
22,ACEL
23,ACN
24,ACCO
25,ATV
26,AYI
27,GOLF
28,ADX
29,PEO
30,ADCT
31,AGRO
32,ADNT
33,ADT
34,ATGE
35,AAP
36,ADSW
37,WMS
38,ASIX
39,AVK
40,ACM
41,AEFC
42,AEB
43,AEG
44,AER
45,AJRD
46,AMG
47,MGR
48,AFL
49,MITT
50,AGCO
51,A
52,AEM
53,ADC
54,AL
55,APD
56,ALG
57,AGI
58,ALK
59,AIN
60,ALB
61,ACI
62,AA
63,ALC
64,ALEX
65,ALX
66,ARE
67,AQN
68,AQNA
69,AQNB
70,BABA
71,Y
72,ATI
73,ALLE
74,ALE
75,ADS
76,AFB
77,AWF
78,AB
79,AIO
80,CBH
81,NCV
82,NCZ
83,ACV
84,NFJ
85,NIE
86,ALSN
87,ALL
88,ALLY
89,PINE
90,ALTG
91,AYX
92,ATUS
93,MO
94,ACH
95,ALUS
96,AMBC
97,ABEV
98,AMC
99,AMCR
100,AEE
101,AMRC
102,AMOV
103,AMX
104,AAT
105,AXL
106,ACC
107,AEO
108,AEP
109,AEL
110,AXP
111,AFG
112,AFGB
113,AFGC
114,AFGD
115,AFGH
116,AMH
117,AIG
118,ARL
119,ARA
120,AWR
121,AMT
122,AVD
123,AWK
124,COLD
125,AMP
126,ABC
127,RYCE
128,AMN
129,AMRX
130,AP
131,APH
132,AXR
133,HKIB
134,AME
135,PLAN
136,DYFN
137,FINS
138,AU
139,BUD
140,NLY
141,AM
142,AR
143,ANTM
144,ANH
145,AON
146,AIV
147,APG
148,ARI
149,APO
150,AFT
151,AIF
152,APLE
153,AIT
154,ATR
155,APTV
156,ARMK
157,ABR
158,ARC
159,MT
160,MTCN
161,ARCH
162,ADM
163,AROC
164,ARNC
165,ARCO
166,ACA
167,RCUS
168,ARD
169,ASC
170,AFC
171,ACRE
172,ARDC
173,ARES
174,AGX
175,ARGD
176,ARGO
177,ANET
178,AI
179,AIC
180,AIW
181,ARLO
182,AHH
183,ARR
184,AFI
185,AWI
186,ARW
187,AJG
188,APAM
189,ASA
190,ABG
191,ASX
192,ASGN
193,AHT
194,ASH
195,ASPN
196,AMK
197,ASB
198,AC
199,AIZ
200,AIZP
201,AGO
202,AZN
203,HOME
204,T
205,TBB
206,TBC
207,ATTO
208,ATH
209,ATKR
210,AT
211,ATCO
212,ATO
213,ACB
214,ATHM
215,ALV
216,AN
217,AZO
218,AVLR
219,AVB
220,AGR
221,AVNS
222,AVTR
223,AVYA
224,AVY
225,AVNT
226,AVA
227,AXTA
228,AXS
229,AX
230,AXO
231,AZUL
232,AZRE
233,AZZ
234,BGS
235,BMRG
236,BW
237,BGH
238,BMI
239,BCSF
240,BKR
241,BBN
242,BLL
243,BANC
244,BBAR
245,BBVA
246,BBD
247,BBDO
248,BCH
249,BLX
250,BSBR
251,BSAC
252,BSMX
253,SAN
254,CIB
255,BXS
256,BAC
257,BOH
258,BMO
259,NTB
260,BNS
261,BKU
262,BCS
