,open,high,low,close,adjclose,volume,ticker
2020-10-30,6.5,6.900000095367432,5.900000095367432,6.0,6.0,134400,JUPW
2020-11-02,6.010000228881836,6.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,192300,JUPW
2020-11-03,5.429999828338623,5.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,69000,JUPW
2020-11-04,5.389999866485596,7.0,4.0,4.070000171661377,4.070000171661377,116300,JUPW
2020-11-05,4.0,5.074999809265137,3.7300000190734863,4.079999923706055,4.079999923706055,147100,JUPW
2020-11-06,4.244999885559082,4.960000038146973,4.0,4.260000228881836,4.260000228881836,152200,JUPW
2020-11-09,4.650000095367432,4.880000114440918,4.269999980926514,4.340000152587891,4.340000152587891,49400,JUPW
2020-11-10,4.25,4.309999942779541,3.799999952316284,3.943000078201294,3.943000078201294,33000,JUPW
2020-11-11,4.079999923706055,4.079999923706055,3.809999942779541,3.947000026702881,3.947000026702881,22500,JUPW
2020-11-12,3.9000000953674316,4.050000190734863,3.9000000953674316,3.9800000190734863,3.9800000190734863,11300,JUPW
2020-11-13,3.940000057220459,3.990000009536743,3.8499999046325684,3.934999942779541,3.934999942779541,20300,JUPW
2020-11-16,3.990000009536743,4.329999923706055,3.9600000381469727,4.190000057220459,4.190000057220459,40200,JUPW
2020-11-17,4.5,5.420000076293945,4.250999927520752,4.800000190734863,4.800000190734863,120900,JUPW
2020-11-18,4.800000190734863,4.800000190734863,4.400000095367432,4.420000076293945,4.420000076293945,27500,JUPW
2020-11-19,4.480000019073486,4.800000190734863,4.420000076293945,4.489999771118164,4.489999771118164,24100,JUPW
2020-11-20,4.460000038146973,4.519999980926514,4.039999961853027,4.369999885559082,4.369999885559082,20600,JUPW
2020-11-23,4.400000095367432,4.599999904632568,4.045000076293945,4.235000133514404,4.235000133514404,26600,JUPW
2020-11-24,4.5,4.659999847412109,4.21999979019165,4.449999809265137,4.449999809265137,75700,JUPW
2020-11-25,4.539999961853027,4.539999961853027,4.177000045776367,4.199999809265137,4.199999809265137,36400,JUPW
2020-11-27,4.260000228881836,4.771999835968018,4.184000015258789,4.550000190734863,4.550000190734863,48600,JUPW
2020-11-30,4.75,5.860000133514404,4.550000190734863,5.199999809265137,5.199999809265137,211600,JUPW
2020-12-01,5.289999961853027,5.289999961853027,4.550000190734863,4.590000152587891,4.590000152587891,56700,JUPW
2020-12-02,4.46999979019165,4.800000190734863,4.260000228881836,4.630000114440918,4.630000114440918,15600,JUPW
2020-12-03,4.78000020980835,5.565999984741211,4.550000190734863,5.090000152587891,5.090000152587891,136200,JUPW
2020-12-04,5.179999828338623,5.699999809265137,4.909999847412109,5.159999847412109,5.159999847412109,197100,JUPW
2020-12-07,5.03000020980835,5.070000171661377,4.2789998054504395,4.585999965667725,4.585999965667725,69200,JUPW
2020-12-08,4.53000020980835,4.800000190734863,4.0,4.329999923706055,4.329999923706055,34700,JUPW
2020-12-09,4.420000076293945,4.849999904632568,4.0,4.039999961853027,4.039999961853027,52100,JUPW
2020-12-10,4.2129998207092285,4.25,3.9000000953674316,3.950000047683716,3.950000047683716,45100,JUPW
2020-12-11,4.0,4.199999809265137,3.950000047683716,4.010000228881836,4.010000228881836,14200,JUPW
2020-12-14,4.019999980926514,4.489999771118164,4.019999980926514,4.449999809265137,4.449999809265137,65500,JUPW
2020-12-15,4.46999979019165,4.579999923706055,4.260000228881836,4.46999979019165,4.46999979019165,33300,JUPW
2020-12-16,4.5,5.400000095367432,4.46999979019165,5.289999961853027,5.289999961853027,239500,JUPW
2020-12-17,5.400000095367432,8.350000381469727,5.289999961853027,6.090000152587891,6.090000152587891,7980500,JUPW
2020-12-18,6.75,6.889999866485596,5.340000152587891,6.510000228881836,6.510000228881836,1056900,JUPW
2020-12-21,5.920000076293945,6.409999847412109,5.599999904632568,6.119999885559082,6.119999885559082,383100,JUPW
2020-12-22,6.75,6.789999961853027,5.679999828338623,5.989999771118164,5.989999771118164,703100,JUPW
2020-12-23,5.800000190734863,5.949999809265137,5.449999809265137,5.599999904632568,5.599999904632568,261200,JUPW
2020-12-24,5.539999961853027,5.590000152587891,4.619999885559082,5.059999942779541,5.059999942779541,343200,JUPW
2020-12-28,5.300000190734863,5.989999771118164,5.199999809265137,5.28000020980835,5.28000020980835,387300,JUPW
2020-12-29,5.269999980926514,5.419000148773193,5.0,5.099999904632568,5.099999904632568,92800,JUPW
2020-12-30,5.230000019073486,5.610000133514404,5.046000003814697,5.130000114440918,5.130000114440918,92200,JUPW
2020-12-31,5.130000114440918,5.489999771118164,4.96999979019165,5.090000152587891,5.090000152587891,88900,JUPW
2021-01-04,5.019999980926514,5.230000019073486,4.820000171661377,4.980000019073486,4.980000019073486,104100,JUPW
2021-01-05,4.800000190734863,4.949999809265137,4.5,4.619999885559082,4.619999885559082,116300,JUPW
2021-01-06,5.0,5.0,4.539999961853027,4.71999979019165,4.71999979019165,159300,JUPW
2021-01-07,4.900000095367432,5.420000076293945,4.670000076293945,4.800000190734863,4.800000190734863,400700,JUPW
2021-01-08,4.760000228881836,5.019999980926514,4.659999847412109,4.800000190734863,4.800000190734863,93500,JUPW
2021-01-11,5.019999980926514,7.630000114440918,4.880000114440918,6.550000190734863,6.550000190734863,7463600,JUPW
2021-01-12,5.840000152587891,6.480000019073486,5.25,5.650000095367432,5.650000095367432,1193000,JUPW
2021-01-13,5.650000095367432,6.489999771118164,5.619999885559082,5.920000076293945,5.920000076293945,1353700,JUPW
2021-01-14,5.980000019073486,6.199999809265137,5.659999847412109,6.039999961853027,6.039999961853027,673400,JUPW
2021-01-15,6.039999961853027,6.099999904632568,5.630000114440918,5.71999979019165,5.71999979019165,329000,JUPW
2021-01-19,5.820000171661377,6.031000137329102,5.710000038146973,5.89900016784668,5.89900016784668,165000,JUPW
2021-01-20,6.190000057220459,6.25,5.449999809265137,5.630000114440918,5.630000114440918,370200,JUPW
2021-01-21,5.679999828338623,5.920000076293945,5.535999774932861,5.590000152587891,5.590000152587891,231000,JUPW
2021-01-22,5.550000190734863,5.900000095367432,5.329999923706055,5.800000190734863,5.800000190734863,159100,JUPW
2021-01-25,5.78000020980835,5.900000095367432,5.400000095367432,5.590000152587891,5.590000152587891,154100,JUPW
2021-01-26,5.559999942779541,6.0,5.409999847412109,5.829999923706055,5.829999923706055,263000,JUPW
2021-01-27,5.800000190734863,5.949999809265137,5.409999847412109,5.550000190734863,5.550000190734863,206700,JUPW
2021-01-28,5.619999885559082,5.789999961853027,5.190000057220459,5.389999866485596,5.389999866485596,192200,JUPW
2021-01-29,5.349999904632568,6.190000057220459,5.164999961853027,5.369999885559082,5.369999885559082,454100,JUPW
2021-02-01,5.380000114440918,6.099999904632568,5.28000020980835,5.96999979019165,5.96999979019165,975600,JUPW
2021-02-02,6.0,6.699999809265137,5.619999885559082,6.099999904632568,6.099999904632568,1556700,JUPW
2021-02-03,6.150000095367432,7.699999809265137,6.019999980926514,6.400000095367432,6.400000095367432,2915800,JUPW
2021-02-04,6.409999847412109,6.670000076293945,6.059999942779541,6.489999771118164,6.489999771118164,463800,JUPW
2021-02-05,6.480000019073486,6.590000152587891,6.059999942779541,6.400000095367432,6.400000095367432,399400,JUPW
